OID_,LandV_Num,Area,Site,LA_Year
24198,28407,0.058612759,Site29,1976
24199,249236,0.035074513,Site29,2012
24200,39566,0.035060159,Site29,1987
24201,500800,0.04691126,Site29,2016
24202,225409,0.058621137,Site29,1994
24203,289029,0.058618763,Site29,2008
24204,346319,0.058621176,Site29,2006
24205,156665,0.058617604,Site29,1987
24206,51798,0.030662562,Site29,1987
24207,67822,0.018062694,Site29,1983
24208,24004,0.031397418,Site29,1977
24209,113980,0.037128857,Site29,1988
24210,32120,0.058621224,Site29,1979
24211,48194,0.05862475,Site29,1979
24212,369551,0.058623136,Site29,2015
24213,175936,0.058621428,Site29,1995
24214,73069,0.117197575,Site29,1979
24215,80493,0.06464402,Site29,1984
24216,187058,0.061394584,Site29,2002
24217,174953,0.061394824,Site29,2002
24218,240760,0.061395895,Site29,2010
24219,388924,0.061394333,Site29,2005
24220,525000,0.061389656,Site29,2016
24221,354951,0.045524286,Site29,2015
24222,69989,0.019510863,Site29,1984
24223,258010,0.023693643,Site29,2011
24224,23382,0.055341375,Site29,1975
24225,25655,0.074813247,Site29,1975
24226,202321,0.074308234,Site29,1998
24227,326345,0.077980888,Site29,2009
24228,10331,0.034193019,Site29,1975
24229,121313,0.034189866,Site29,1994
24230,297620,0.059452768,Site29,2012
24231,119554,0.059471225,Site29,1996
24232,97901,0.029726433,Site29,2009
24233,431000,0.029722571,Site29,2006
24234,22755,0.069213109,Site29,1975
24235,144760,0.065219689,Site29,2000
24236,121255,0.065222586,Site29,1988
24237,535640,0.065222406,Site29,2006
24238,94419,0.06521998,Site29,1983
24239,525700,0.065213934,Site29,2016
24240,140381,0.049235385,Site29,1993
24241,165778,0.020437668,Site29,1991
24242,15301,0.034836242,Site29,1975
24243,451583,0.034836274,Site29,2015
24244,19034,0.065214076,Site29,1975
24245,213761,0.065229617,Site29,1991
24246,288246,0.065229224,Site29,2004
24247,203395,0.06520656,Site29,2009
24248,37250,0.065216955,Site29,1978
24249,20063,0.053167865,Site29,1975
24250,248297,0.016165845,Site29,2005
24251,154105,0.074542266,Site29,2000
24252,155473,0.074730965,Site29,2002
24253,104820,0.06493206,Site29,2002
24254,384886,0.058526914,Site29,2013
24255,324677,0.058528987,Site29,2011
24256,365755,0.058522405,Site29,2011
24257,184665,0.058530913,Site29,1989
24258,55991,0.065034561,Site29,1984
24259,50429,0.052026949,Site29,1987
24260,133647,0.060620707,Site29,2001
24261,40881,0.073599077,Site29,1987
24262,146440,0.052007514,Site29,1993
24263,130043,0.062964229,Site29,1999
24264,510403,0.061842073,Site29,2008
24265,491311,0.071268243,Site29,2006
24266,75382,0.068723665,Site29,1981
24267,393344,0.06537975,Site29,2008
24268,233127,0.062050055,Site29,2010
24269,718000,0.068917497,Site29,2016
24270,588855,0.055404545,Site29,2015
24271,142647,0.064790436,Site29,1987
24272,82004,0.065025527,Site29,1981
24273,257335,0.065031139,Site29,2010
24274,274795,0.065040313,Site29,2004
24275,353245,0.04644857,Site29,2005
24276,114187,0.046574103,Site29,1997
24277,42069,0.034863364,Site29,1979
24278,523637,0.043687876,Site29,2006
24279,20677,0.050265011,Site29,1977
24280,21602,0.065207733,Site29,1979
24281,110730,0.04652126,Site29,1998
24282,164309,0.079699521,Site29,1992
24283,50762,0.055680766,Site29,2015
24284,369043,0.029435936,Site29,2015
24285,12005,0.024328399,Site29,2004
24286,45916,0.056508672,Site29,2005
24287,194525,0.074452575,Site29,2003
24288,417837,0.065131505,Site29,2014
24289,140326,0.052096685,Site29,1996
24290,121697,0.066070519,Site29,1999
24291,120239,0.065069205,Site29,1997
